Keys; cs ; en ; sk 
--loc--
  Muž; _NEPRELOZENE_; Man;  Muž
  Vytvoriť; _NEPRELOZENE_; Create;  Vytvoriť
 24 hodín; _NEPRELOZENE_; 24 hours; 24 hodín
 48 hodín; _NEPRELOZENE_; 48 hours; 48 hodín
 Admin; _NEPRELOZENE_; Admin; Admin
 Adresa; _NEPRELOZENE_; Address; Adresa
 Adresa nie je kompletná. Uistite sa, či je vyplnené - Mesto, Ulica (s číslom!), PSČ a Krajina. Upresniť adresu môžete vo vyhľadávaní alebo priamo v mape.; _NEPRELOZENE_; The address is not complete. Make sure it is filled in - City, Street (with number!), ZIP code and Country. You can refine the address in the search or directly on the map.; Adresa nie je kompletná. Uistite sa, či je vyplnené - Mesto, Ulica (s číslom!), PSČ a Krajina. Upresniť adresu môžete vo vyhľadávaní alebo priamo v mape.
 Adresa salónu nie je známa; _NEPRELOZENE_; Salon address is unknown; Adresa salónu nie je známa
 Ak chcete salón publikovať, je potrebné požiadať o jeho schválenie.; _NEPRELOZENE_; It is necessary to request an approval for salon to be published.; Ak chcete salón publikovať, je potrebné požiadať o jeho schválenie.
 Ak pre nejaké odvetvie chýba služba, ktorú chcete poskytovať, vyplňte formulár.; _NEPRELOZENE_; If the service you want to provide is missing for an industry, fill out the form.; Ak pre nejaké odvetvie chýba služba, ktorú chcete poskytovať, vyplňte formulár.
 Aktivovať; _NEPRELOZENE_; Activate; Aktivovať
 Aktívne salóny; _NEPRELOZENE_; Active salons; Aktívne salóny
 Aké spôsoby platby akceptujete, napr. hotovosť, poukazy, kryptomeny,...; _NEPRELOZENE_; What payment methods do you accept, e.g. cash, vouchers, cryptocurrencies,...; Aké spôsoby platby akceptujete, napr. hotovosť, poukazy, kryptomeny,...
 Aspoň 8 znakov, 1 číslo, 1 veľký, 1 malý a 1 špeciálny znak; _NEPRELOZENE_; At least 8 characters, 1 number, 1 uppercase, 1 lowercase and 1 special character; Aspoň 8 znakov, 1 číslo, 1 veľký, 1 malý a 1 špeciálny znak
 Avatar; _NEPRELOZENE_; Avatar; Avatar
 BASIC; _NEPRELOZENE_; BASIC; BASIC
 BASIC salóny; _NEPRELOZENE_; BASIC salons; BASIC salóny
 BASIC salóny, systémom omylom navrhnuté na spárovanie; _NEPRELOZENE_; BASIC salons mistakenly suggested for pairing; BASIC salóny, systémom omylom navrhnuté na spárovanie
 Bez udania dôvodu.; _NEPRELOZENE_; No exlpanation was provided.; Bez udania dôvodu.
 Boli ste automaticky odhlásený; _NEPRELOZENE_; You have been automatically logged out; Boli ste automaticky odhlásený
 Boli ste pozvaný do salónu; _NEPRELOZENE_; You have been invited to the salon; Boli ste pozvaný do salónu
 Cena; _NEPRELOZENE_; Price; Cena
 Cena ({{symbol}}); _NEPRELOZENE_; Price ({{symbol}}; Cena ({{symbol}})
 Cena do ({{symbol}}); _NEPRELOZENE_; Price to ({{symbol}}); Cena do ({{symbol}})
