Keys;bg;cs;en;hu;it;ro;sk
--loc--;;--loc--;;;;;
Muž;_NEPRELOZENE_;Muž;Man;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Muž
Vytvoriť;_NEPRELOZENE_;Vytvorřit;Create;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť
Adresa;_NEPRELOZENE_;Adresa;Address;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Adresa
Adresa nie je kompletná. Uistite sa, či je vyplnené - Mesto, Ulica (s číslom!), PSČ a Krajina. Upresniť adresu môžete vo vyhľadávaní alebo priamo v mape.;_NEPRELOZENE_;Adresa není kompletní. Ujistěte se, že jste vyplnili město, ulici s číslem, PSČ a zemi. Adresu můžete upřesnit ve vyhledávání nebo přímo v mapě.;The address is not complete. Make sure it is filled in - City, Street (with number!), ZIP code and Country. You can refine the address in the search or directly on the map.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Adresa nie je kompletná. Uistite sa, či je vyplnené - Mesto, Ulica (s číslom!), PSČ a Krajina. Upresniť adresu môžete vo vyhľadávaní alebo priamo v mape.
Aktivovať;_NEPRELOZENE_;Aktivovat;Activate;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Aktivovať
Aké spôsoby platby akceptujete, napr. hotovosť, poukazy, kryptomeny,...;_NEPRELOZENE_;Jaké způsoby platby akceptujeme: např. hotovost, poukazy, kryptoměny...;What payment methods do you accept, e.g. cash, vouchers, cryptocurrencies,...;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Aké spôsoby platby akceptujete, napr. hotovosť, poukazy, kryptomeny,...
Aspoň 8 znakov, 1 číslo, 1 veľký, 1 malý a 1 špeciálny znak;_NEPRELOZENE_;Aspoň 8 znaků, 1 číslo, 1 velký, 1 malý a 1 speciální znak;At least 8 characters, 1 number, 1 uppercase, 1 lowercase and 1 special character;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Aspoň 8 znakov, 1 číslo, 1 veľký, 1 malý a 1 špeciálny znak
Avatar;_NEPRELOZENE_;Avatar;Avatar;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Avatar
Boli ste automaticky odhlásený;_NEPRELOZENE_;Radši jsme vás odhlásili;You have been automatically logged out;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Boli ste automaticky odhlásený
Cena ({{symbol}});_NEPRELOZENE_;Cena ({{symbol}});Price ({{symbol}} ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Cena ({{symbol}})
Cena (€);_NEPRELOZENE_;Cena (€);Price (€);_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Cena (€)
Cena do ({{symbol}});_NEPRELOZENE_;Cena do ({{symbol}});Price to ({{symbol}});_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Cena do ({{symbol}})
Cena od ({{symbol}});_NEPRELOZENE_;Cena od ({{symbol}});Price from ({{symbol}});_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Cena od ({{symbol}})
Chyba;_NEPRELOZENE_;Chyba;Error;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Chyba
Chyba pripojenia k serveru;_NEPRELOZENE_;Chyba připojení k serveru;Error connecting to server;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Chyba pripojenia k serveru
Chybne vyplnený formulár;_NEPRELOZENE_;Chybně vyplněný formulář;Incorrectly filled out form;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Chybne vyplnený formulár
Chybný rozsah;_NEPRELOZENE_;Chybný rozsah;Invalid range;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Chybný rozsah
Chybný rozsah dátumov;_NEPRELOZENE_;Chybný rozsah dat;Invalid date range;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Chybný rozsah dátumov
DIČ;_NEPRELOZENE_;DIČ;TIN;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;DIČ
Detail podpory;_NEPRELOZENE_;Detail podpory;Support detail;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Detail podpory
Detail používateľa;_NEPRELOZENE_;Detail uživatele;User detail;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Detail používateľa
Detail salónu;_NEPRELOZENE_;Detail salonu;Salon detail;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Detail salónu
Detail služby;_NEPRELOZENE_;Detail služby;Service detail;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Detail služby
Detail zamestnanca;_NEPRELOZENE_;Detail zaměstnance;Employee detail;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Detail zamestnanca
Detail zákazníka;_NEPRELOZENE_;Detail zákazníka;Customer detail;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Detail zákazníka
Do;_NEPRELOZENE_;Do;To;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Do
Doplňujúci popis;_NEPRELOZENE_;Doplňující popis;Additional description;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Doplňujúci popis
Dátum;_NEPRELOZENE_;Datum;Date;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Dátum
Dátum nesmie byť v minulosti;_NEPRELOZENE_;Datum nesmí být v minulosti;The date must not be in the past;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Dátum nesmie byť v minulosti
Dôvod zamietnutia;_NEPRELOZENE_;Důvod zamítnutí;Reason for rejection;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Dôvod zamietnutia
Email;_NEPRELOZENE_;E-mail;Email;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Email
Email nie je platný;_NEPRELOZENE_;E-mail je neplatný;Invalid email;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Email nie je platný
Emailové adresy;_NEPRELOZENE_;E-mailové adresy;Email addresses;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Emailové adresy
Ešte nemáte účet?;_NEPRELOZENE_;Ještě nemáte účet?;Don't have an account yet?;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ešte nemáte účet?
Facebook;_NEPRELOZENE_;Facebook;Facebook;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Facebook
Firemné údaje;_NEPRELOZENE_;Firemné údaje;Company data;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Firemné údaje
